timestamp,node_id,seq,temperature,humidity,pressure,co_ppm,co2_ppm,rssi,snr,fire
2026-04-24 15:18:21,1,0,26.67,41.39,1013.37,0.00,453,-29,10,0.0
2026-04-24 15:18:31,1,1,26.74,41.94,1013.34,0.00,465,-32,10,0.0
2026-04-24 15:18:41,1,0,26.63,41.60,1013.34,0.00,463,-26,10,0.0
2026-04-24 15:18:51,1,1,26.14,42.14,1013.36,0.00,434,-27,10,0.0
2026-04-24 15:21:47,1,0,25.75,45.75,1013.26,0.00,462,-22,9,0.0
2026-04-24 15:21:50,1,0,25.75,45.75,1013.26,0.00,462,-25,10,0.0
2026-04-24 15:21:57,1,1,25.77,46.07,1013.29,0.00,448,-25,11,0.0
2026-04-24 15:22:16,1,0,24.96,46.33,1013.23,0.00,429,-42,10,0.0
2026-04-24 15:22:26,1,1,23.84,48.30,1013.16,0.00,409,-26,10,0.0
2026-04-24 15:22:36,1,0,23.90,49.58,1013.21,0.00,397,-28,10,0.0
2026-04-24 15:22:53,1,1,24.32,48.77,1013.21,0.00,410,-25,10,0.0
2026-04-24 15:22:56,1,0,24.09,49.33,1013.18,0.00,412,-29,10,0.0
2026-04-24 15:23:06,1,1,24.16,49.19,1013.24,0.00,428,-23,10,0.0
2026-04-24 15:23:16,1,0,24.26,48.72,1013.15,0.00,436,-23,9,0.0
2026-04-24 15:23:26,1,1,24.60,47.99,1013.16,0.00,444,-23,11,0.0
2026-04-24 15:23:39,1,0,24.80,47.21,1013.21,0.00,450,-22,10,0.0
2026-04-24 15:23:46,1,1,24.99,47.15,1013.17,0.00,455,-22,10,0.0
2026-04-24 15:23:56,1,0,25.24,47.40,1013.16,0.00,456,-23,10,0.0
2026-04-24 15:24:06,1,1,25.07,46.30,1013.17,0.00,455,-23,10,0.0
2026-04-24 15:24:16,1,0,24.96,46.28,1013.16,0.00,456,-23,10,0.0
2026-04-24 15:24:29,1,1,24.70,46.20,1013.13,0.00,455,-25,11,0.0
2026-04-24 15:24:36,1,0,24.16,46.36,1013.08,0.00,448,-20,10,0.0
2026-04-24 15:24:46,1,1,23.69,47.53,1013.09,0.00,430,-26,10,0.0
2026-04-24 15:24:56,1,0,23.56,47.86,1013.21,0.00,429,-29,9,0.0
2026-04-24 15:25:06,1,1,23.52,48.38,1013.20,0.00,423,-25,10,0.0
2026-04-24 15:25:16,1,0,23.44,49.18,1013.10,0.00,409,-22,10,0.0
2026-04-24 15:25:26,1,1,23.35,49.36,1013.16,0.00,403,-21,11,0.0
2026-04-24 15:25:39,1,0,23.64,49.10,1013.14,0.00,407,-29,10,0.0
2026-04-24 15:25:46,1,1,23.59,49.54,1013.15,0.00,407,-28,10,0.0
2026-04-24 15:25:56,1,0,23.66,50.24,1013.15,0.00,408,-27,10,0.0
2026-04-24 15:26:06,1,1,23.84,50.13,1013.10,0.00,410,-21,10,0.0
2026-04-24 15:26:16,1,0,23.73,49.76,1013.13,0.00,411,-19,10,0.0
2026-04-24 15:26:26,1,1,23.74,49.74,1013.12,0.00,424,-25,11,0.0
2026-04-24 15:26:36,1,0,23.48,48.39,1013.11,0.00,425,-28,10,0.0
2026-04-24 15:26:46,1,1,23.46,48.14,1013.13,0.00,436,-29,10,0.0
2026-04-24 15:26:56,1,0,23.58,48.76,1013.13,0.00,475,-27,10,0.0
2026-04-24 15:27:16,1,0,24.00,47.64,1013.08,0.00,597,-23,10,0.0
2026-04-24 15:27:26,1,1,23.71,47.04,1013.10,0.00,532,-19,10,0.0
2026-04-24 15:27:35,1,0,23.45,47.46,1013.01,0.00,477,-21,10,0.0
2026-04-24 15:27:45,1,1,23.27,48.41,1013.13,0.00,452,-23,10,0.0
2026-04-24 15:27:55,1,0,23.29,49.55,1013.12,0.00,446,-25,11,0.0
2026-04-24 15:28:05,1,1,23.14,50.02,1013.28,0.00,430,-22,11,0.0
2026-04-24 15:28:15,1,0,23.08,50.45,1013.21,0.00,430,-29,10,0.0
2026-04-24 15:28:25,1,1,23.07,50.35,1013.15,0.00,439,-23,10,0.0
2026-04-24 15:28:35,1,0,23.82,50.00,1013.13,0.00,457,-21,10,0.0
2026-04-24 15:28:45,1,1,24.89,49.23,1013.19,0.00,473,-21,10,0.0
2026-04-24 15:28:48,1,1,24.89,49.23,1013.19,0.00,473,-18,10,0.0
2026-04-24 15:28:52,1,1,24.89,49.23,1013.19,0.00,473,-23,10,0.0
2026-04-24 15:28:55,1,0,25.76,47.28,1013.16,0.00,476,-25,10,0.0
2026-04-24 15:29:05,1,1,25.60,46.08,1013.15,0.00,473,-24,10,0.0
2026-04-24 15:29:15,1,0,25.52,46.13,1013.14,0.00,465,-15,11,0.0
2026-04-24 15:29:25,1,1,25.11,46.33,1013.15,0.00,441,-27,10,0.0
2026-04-24 15:29:38,1,0,24.85,46.78,1013.07,0.00,433,-23,10,0.0
2026-04-24 15:29:45,1,1,24.50,47.15,1013.06,0.00,427,-28,10,0.0
2026-04-24 15:29:55,1,0,24.11,47.77,1013.13,0.00,424,-25,10,0.0
2026-04-24 15:30:05,1,1,24.10,48.75,1013.03,9.00,544,-20,9,0.0
2026-04-24 15:30:15,1,0,25.67,49.19,1013.05,52.00,1060,-23,9,0.0
2026-04-24 15:30:25,1,1,26.36,46.67,1013.09,75.00,1167,-21,10,0.0
